店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
とりやきんぐ 鳥栖店,050-5494-2550,,佐賀県,鳥栖市古賀町,347-1,,https://fbw8908.gorp.jp/,True
ステーキのどん幸手店,050-5493-4598,,埼玉県,幸手市北,2-16-28,,https://geg6654.gorp.jp/,True
今帰仁アグー料理一式 長堂屋,050-5488-6680,,沖縄県,国頭郡今帰仁村玉城,710-1,,https://fbzt900.gorp.jp/,True
炭火焼鳥 炭炭 梅原店,050-5484-2484,,和歌山県,和歌山市中,296-3,,https://kce1303.gorp.jp/,True
焼肉食彩 味来（MIRAI）,050-5489-5581,,愛知県,尾張旭市向町,2-5-9,,https://nbwh500.gorp.jp/,True
居酒屋 八蔵 吉野ヶ里店,050-5485-8238,,佐賀県,神埼郡吉野ケ里町吉田,33-1,,https://fb93403.gorp.jp/,True
しゃぶしゃぶ・日本料理 木曽路 東名店,050-5485-3656,,愛知県,名古屋市名東区社台,3-227,,https://n011427.gorp.jp/,True
鰻の成瀬 八幡店,050-5488-6198,,千葉県,市原市八幡,312-2,,https://gj3w753.gorp.jp/,True
いちおしや伝五郎 小杉店,050-5486-3579,,富山県,射水市一条,3-1,,https://dengoro-kosugi.gorp.jp/,True
なかの食鶏 淡路店,050-5487-0786,,大阪府,大阪市東淀川区淡路,4-4-7,,https://kd4u200.gorp.jp/,True
島唄居酒屋 喜山,050-5492-4189,,沖縄県,宮古島市平良字西里,244,,https://fbs6100.gorp.jp/,True
鰻の成瀬 山陽店,086-955-7220,,岡山県,赤磐市沼田,858-1,,https://ya71300.gorp.jp/,True
藍屋 三鷹新川店,0570-012-347,,東京都,三鷹市新川,3-1-17,,https://ghk6623.gorp.jp/,True
鰻の成瀬 甲府昭和店,050-5488-5590,,山梨県,中巨摩郡昭和町押越字上河原,1123,,https://nc77600.gorp.jp/,True
炭火焼肉 大,050-5494-9037,,沖縄県,石垣市字真栄里,307-6,,https://f429900.gorp.jp/,True
魚民 湯沢駅前店（秋田県）,0183-72-2388,,秋田県,湯沢市表町,1-1-26,Ｙ・Ｍビル1F,https://t338122.gorp.jp/,True
博多もつ鍋 馬肉 九州自慢 郡山駅前通り店,050-5494-1916,,福島県,郡山市駅前,2-3-12,越後屋ビルB1,https://t078525.gorp.jp/,True
炭火焼鳥 とりだん 上新庄店,050-5488-5303,,大阪府,大阪市東淀川区瑞光,1-10-21,,https://kdmz300.gorp.jp/,True
大島屋 熊谷駅北口店,050-5486-1196,,埼玉県,熊谷市筑波,2-87,,https://gedy800.gorp.jp/,True
養老乃瀧 岩切駅前,050-5489-1089,,宮城県,仙台市宮城野区岩切字洞の口,188,,https://t350420.gorp.jp/,True
ザ ハイミール ダイナー THE HIGHMEAL DINER 遠鉄百貨店,050-5488-5938,,静岡県,浜松市中央区砂山町,320-2,遠鉄百貨店8F,https://nbuz101.gorp.jp/,True
魚民 さくらんぼ東根東口駅前店,0237-43-0688,,山形県,東根市さくらんぼ駅前,2-1-6,柴田ビル1F,https://t088045.gorp.jp/,True
居酒屋 とんとんびょうし 武生店,050-5486-7875,,福井県,越前市横市町,39-8-3,,https://tonton-takehu.gorp.jp/,True
寳 TERAS,050-5487-1428,,埼玉県,秩父郡長瀞町長瀞,544-1,,https://gfxr800.gorp.jp/,True
魚民 日出店,0977-72-2688,,大分県,速見郡日出町,3898-10,20.モンテローザ日出町ビル,https://f654028.gorp.jp/,True
いろはにほへと 米沢中央店,050-5485-6517,,山形県,米沢市門東町,3-2-56,,https://iroha-yonezawachuo.gorp.jp/,True
神戸クック・ワールドビュッフェ 久留米店,050-5488-5482,,福岡県,久留米市東櫛原町,518-1,,https://fbzm800.gorp.jp/,True
